weight_decay,stride_pool,stride_conv,patience_lr,output_dim,nesterov,momentum,max_epoch,learning_rate,kernel_size_pool,kernel_size_conv,input_dim,hidden_layers_size,filters,early_stopping,dropout_rate,batch_size,batch_normalization,activation,val_accuracy,train_accuracy
0.001,"[(1, 3), (1, 3)]","[(1, 1), (1, 1)]",15,13,True,0.9,100,0.001,"[(4, 3), (1, 3)]","[(57, 6), (1, 3)]",2,1000,"[80, 80]",True,0.5,256,False,relu,78.3184523809524,78.14368206521739
0.001,"[(1, 3), (1, 3)]","[(1, 1), (1, 1)]",10,13,True,0.85,100,0.002,"[(4, 3), (1, 3)]","[(57, 6), (1, 3)]",2,1000,"[80, 80]",True,0.5,256,False,relu,81.65922619047619,86.07846467391305
0.001,"[(1, 3), (1, 3)]","[(1, 1), (1, 1)]",15,13,True,0.9,100,0.002,"[(4, 3), (1, 3)]","[(57, 6), (1, 3)]",2,1000,"[80, 80]",True,0.5,256,False,relu,85.34226190476191,89.9898097826087
0.001,"[(1, 3), (1, 3)]","[(1, 1), (1, 1)]",5,13,True,0.95,100,0.001,"[(4, 3), (1, 3)]","[(57, 6), (1, 3)]",2,5000,"[80, 80]",True,0.5,256,False,relu,85.56175595238096,95.38552989130434
0.001,"[(1, 3), (1, 3)]","[(1, 1), (1, 1)]",10,13,True,0.9,100,0.002,"[(4, 3), (1, 3)]","[(57, 6), (1, 3)]",2,5000,"[80, 80]",True,0.5,256,False,relu,85.82217261904763,94.7163722826087
0.001,"[(1, 3), (1, 3)]","[(1, 1), (1, 1)]",10,13,True,0.95,100,0.005,"[(4, 3), (1, 3)]","[(57, 6), (1, 3)]",2,1000,"[80, 80]",True,0.5,32,False,relu,86.9517543859649,93.79280821917808
0.002,"[(1, 3), (1, 3)]","[(1, 1), (1, 1)]",5,13,True,0.95,100,0.005,"[(4, 3), (1, 3)]","[(57, 6), (1, 3)]",2,5000,"[80, 80]",True,0.5,128,False,relu,88.49553571428571,99.71217105263158
0.001,"[(1, 3), (1, 3)]","[(1, 1), (1, 1)]",10,13,True,0.95,100,0.001,"[(4, 3), (1, 3)]","[(57, 6), (1, 3)]",2,5000,"[80, 80]",True,0.5,128,False,relu,88.49553571428571,99.25986842105263
0.002,"[(1, 3), (1, 3)]","[(1, 1), (1, 1)]",5,13,True,0.95,100,0.005,"[(4, 3), (1, 3)]","[(57, 6), (1, 3)]",2,5000,"[80, 80]",True,0.5,32,False,relu,89.08991228070175,99.65753424657534
0.002,"[(1, 3), (1, 3)]","[(1, 1), (1, 1)]",15,13,True,0.9,100,0.001,"[(4, 3), (1, 3)]","[(57, 6), (1, 3)]",2,1000,"[80, 80]",True,0.5,64,False,relu,89.21875,97.3064776733255
0.002,"[(1, 3), (1, 3)]","[(1, 1), (1, 1)]",10,13,True,0.95,100,0.002,"[(4, 3), (1, 3)]","[(57, 6), (1, 3)]",2,5000,"[80, 80]",True,0.5,128,False,relu,89.25,99.7532894736842
0.001,"[(1, 3), (1, 3)]","[(1, 1), (1, 1)]",5,13,True,0.85,100,0.001,"[(4, 3), (1, 3)]","[(57, 6), (1, 3)]",2,1000,"[80, 80]",True,0.5,32,False,relu,89.3092105263158,98.0996873138773
0.002,"[(1, 3), (1, 3)]","[(1, 1), (1, 1)]",5,13,True,0.95,100,0.005,"[(4, 3), (1, 3)]","[(57, 6), (1, 3)]",2,1000,"[80, 80]",True,0.5,32,False,relu,89.80263157894737,99.57191780821918
0.001,"[(1, 3), (1, 3)]","[(1, 1), (1, 1)]",15,13,True,0.9,100,0.001,"[(4, 3), (1, 3)]","[(57, 6), (1, 3)]",2,5000,"[80, 80]",True,0.5,64,False,relu,89.84375,98.57336956521739
0.001,"[(1, 3), (1, 3)]","[(1, 1), (1, 1)]",5,13,True,0.95,100,0.005,"[(4, 3), (1, 3)]","[(57, 6), (1, 3)]",2,5000,"[80, 80]",True,0.5,128,False,relu,89.875,99.71217105263158
0.001,"[(1, 3), (1, 3)]","[(1, 1), (1, 1)]",15,13,True,0.95,100,0.005,"[(4, 3), (1, 3)]","[(57, 6), (1, 3)]",2,5000,"[80, 80]",True,0.5,128,False,relu,89.97767857142858,99.50657894736842
0.002,"[(1, 3), (1, 3)]","[(1, 1), (1, 1)]",10,13,True,0.95,100,0.002,"[(4, 3), (1, 3)]","[(57, 6), (1, 3)]",2,5000,"[80, 80]",True,0.5,64,False,relu,90.78125,99.40878378378379
0.002,"[(1, 3), (1, 3)]","[(1, 1), (1, 1)]",5,13,True,0.9,100,0.005,"[(4, 3), (1, 3)]","[(57, 6), (1, 3)]",2,1000,"[80, 80]",True,0.5,32,False,relu,91.28289473684211,99.70034246575342
0.001,"[(1, 3), (1, 3)]","[(1, 1), (1, 1)]",5,13,True,0.9,100,0.002,"[(4, 3), (1, 3)]","[(57, 6), (1, 3)]",2,1000,"[80, 80]",True,0.5,32,False,relu,91.28289473684211,99.18664383561644
0.001,"[(1, 3), (1, 3)]","[(1, 1), (1, 1)]",10,13,True,0.95,100,0.002,"[(4, 3), (1, 3)]","[(57, 6), (1, 3)]",2,1000,"[80, 80]",True,0.5,32,False,relu,92.10526315789474,98.97260273972603
